24,George Washington,https://artsandculture.google.com/asset/george-washington/kQERa87syyG-sQ
25,Portrait of a Young Man,https://artsandculture.google.com/asset/portrait-of-a-young-man/agHj--XR5dcL1A
26,Portrait of James Baldwin,https://artsandculture.google.com/asset/portrait-of-james-baldwin/UQEMrgcDa45FIQ
27,Portrait of a Young Scholar,https://artsandculture.google.com/asset/portrait-of-a-young-scholar/nwFsvQdZJdE-FA
28,Portrait of Charles Deering,https://artsandculture.google.com/asset/portrait-of-charles-deering/6QEE9Oh8WY5bqg
29,Portrait of Guru Teg Bahadur,https://artsandculture.google.com/asset/portrait-of-guru-teg-bahadur/aQHVCPa99OPpoA
30,Portrait of Guilherme de Almeida,https://artsandculture.google.com/asset/portrait-of-guilherme-de-almeida/-AHABgss37HDmQ
31,Portrait of Duke Henry the Devout of Saxony,https://artsandculture.google.com/asset/portrait-of-duke-henry-the-devout-of-saxony/yQE-BikNk6kikQ
32,Portrait of the Boxer Alexey Bakun,https://artsandculture.google.com/asset/portrait-of-the-boxer-alexey-bakun/VQEQoubCruJV7g
33,Portrait of Baby de Almeida,https://artsandculture.google.com/asset/portrait-of-baby-de-almeida/OAH4PMGk9AsVMg
34,Portrait of Baby de Almeida,https://artsandculture.google.com/asset/portrait-of-baby-de-almeida/PwH_10s1TroRRg
35,Portrait of the landscape painter Frederik Sødring,https://artsandculture.google.com/asset/portrait-of-the-landscape-painter-frederik-s%C3%B8dring/3wHcvpxYjVz0Xw
36,Portrait of Santiago Rusinol,https://artsandculture.google.com/asset/portrait-of-santiago-rusinol/dgGJQk1He4Hbeg
37,Portrait of Guilherme de Almeida,https://artsandculture.google.com/asset/portrait-of-guilherme-de-almeida/CAH-Hk_-2ADNHg
38,Portrait of Baby de Almeida,https://artsandculture.google.com/asset/portrait-of-baby-de-almeida/AgH_8hWWGFyV3w
39,Female portrait,https://artsandculture.google.com/asset/female-portrait/qwHYHDiWIGjRCw
40,Portrait of Guilherme de Almeida,https://artsandculture.google.com/asset/portrait-of-guilherme-de-almeida/fQHlHPCSGWPgXQ
41,Equestrian portrait of Maharaja Ranjit Singh,https://artsandculture.google.com/asset/equestrian-portrait-of-maharaja-ranjit-singh/1wGt7drlTJtjLg
42,"A Portrait of Yi Chungwon, a Hoseong Meritorious Subject",https://artsandculture.google.com/asset/a-portrait-of-yi-chungwon-a-hoseong-meritorious-subject/ywETrYUarbtWaw
43,Portrait of Isabel de Regoyos,https://artsandculture.google.com/asset/portrait-of-isabel-de-regoyos/BgEqmwQ_UqDPsQ
44,Portrait of Baby de Almeida,https://artsandculture.google.com/asset/portrait-of-baby-de-almeida/_gHsTbN4-NL8-Q
45,Spring is coming. Self-portrait,https://artsandculture.google.com/asset/spring-is-coming-self-portrait/MgHchqb5j_VVow
46,Self-portrait in the Museum,https://artsandculture.google.com/asset/self-portrait-in-the-museum/CwGQFGP0FBxD9w
47,The portrait of Niklas Buck,https://artsandculture.google.com/asset/the-portrait-of-niklas-buck/OAEc94iHa1Y1jw
48,Portrait of Baby de Almeida,https://artsandculture.google.com/asset/portrait-of-baby-de-almeida/5gELK4pIv_tkHw
49,Portrait of Baby de Almeida,https://artsandculture.google.com/asset/portrait-of-baby-de-almeida/UAEXVlw4y_O8WA
50,Portrait of Armand Roulin,https://artsandculture.google.com/asset/portrait-of-armand-roulin/3wF7xOZU-dKdrg
51,Portrait of a Young Girl,https://artsandculture.google.com/asset/portrait-of-a-young-girl/WAHnz_HDsZ6NXg
52,Portrait of Baby de Almeida,https://artsandculture.google.com/asset/portrait-of-baby-de-almeida/YAGMLo_6zb8qug
53,Portrait of a Man,https://artsandculture.google.com/asset/portrait-of-a-man/YwFFxERY8qcF3w
54,Portrait of a Friend,https://artsandculture.google.com/asset/portrait-of-a-friend/PQGOSVqDIvwymQ
55,Self-portrait,https://artsandculture.google.com/asset/self-portrait/aQHo_zxQzder2A
56,"Portrait of Charles Turner, Mayor of Lynn",https://artsandculture.google.com/asset/portrait-of-charles-turner-mayor-of-lynn/RQEXhz6uCm4v2w
57,Portrait of a Vaishnava Mahant with Devotees,https://artsandculture.google.com/asset/portrait-of-a-vaishnava-mahant-with-devotees/9AEWlILYXvMpqg
58,Portrait of Baby de Almeida,https://artsandculture.google.com/asset/portrait-of-baby-de-almeida/NQF9ZZ9f6ji49A
59,Portrait of Nini Lopez,https://artsandculture.google.com/asset/portrait-of-nini-lopez/XwGLWC1xcDuDpg
60,Portrait of Inés Bertrand,https://artsandculture.google.com/asset/portrait-of-in%C3%A9s-bertrand/GgH6JO3SwShvBg
61,Portrait of A. Moravia,https://artsandculture.google.com/asset/portrait-of-a-moravia/oQHgHZn0B104LA
62,Made-up portrait,https://artsandculture.google.com/asset/made-up-portrait/sgHXY69DVschtA
63,Portrait of Violinist Ede Zathureczky,https://artsandculture.google.com/asset/portrait-of-violinist-ede-zathureczky/_AEECX0Q6kMY9A
64,Male portrait,https://artsandculture.google.com/asset/male-portrait/LgEnMRMyLH5K9Q
65,Portrait of Maria Rosa Cortés,https://artsandculture.google.com/asset/portrait-of-maria-rosa-cort%C3%A9s/vAFEABh2_fMWBQ
66,Portrait of Blanka Kollárová,https://artsandculture.google.com/asset/portrait-of-blanka-koll%C3%A1rov%C3%A1/1AHSBtRtbgl2Yw
67,Male portrait,https://artsandculture.google.com/asset/male-portrait/DgFJ4AkcvjtirQ
68,"Portrait of Nicholas Legrand and His Grandson, Joseph-Adolphe De Pujol",https://artsandculture.google.com/asset/portrait-of-nicholas-legrand-and-his-grandson-joseph-adolphe-de-pujol/ZQGiJLsHiCG_cQ
69,Portrait of a Lady,https://artsandculture.google.com/asset/portrait-of-a-lady/_QGHYNQ8DM0c7Q
70,Self Portrait,https://artsandculture.google.com/asset/self-portrait/iAHp1_4oiuRHUA
71,Portrait of Catherine II,https://artsandculture.google.com/asset/portrait-of-catherine-ii/KwGPKoH47Y6_tw
72,Portrait of the Artist's Daughter Karola,https://artsandculture.google.com/asset/portrait-of-the-artist-s-daughter-karola/EQHoFaUez6ZJsg
